"Установить ограничение скорости до 30 км/ч в жилых кварталах, где часто гуляют дети.","Безопасность"
"Оснастить все школьные автобусы ремнями безопасности и системами видеонаблюдения.","Безопасность"
"Повысить штрафы за парковку на местах для инвалидов и усилить контроль за их соблюдением.","Безопасность"
"Создать городскую программу раздельного сбора стекла, пластика и бумаги с удобными пунктами приёма.","Экология"
"Субсидировать установку энергоэффективных окон и утепления домов для сокращения потерь тепла и выбросов.","Экология"
"Организовать регулярные культурные мероприятия во дворах: концерты, кинопоказы и мастер‑классы для жителей.","Городская среда"
"Открыть больше библиотек и читальных залов с современными рабочими местами и бесплатным Wi‑Fi.","Городская среда"
"Ввести льготы по аренде помещений для небольших локальных магазинов и кафе, чтобы поддержать малый бизнес.","Экономика"
"Снизить налоговую нагрузку на социально ориентированные некоммерческие организации, занимающиеся благотворительностью.","Экономика"
"Создать сервис поддержки начинающих предпринимателей: консультации юристов, бухгалтеров и маркетологов.","Экономика"
"Организовать дополнительные занятия по финансовой грамотности для взрослых в центрах занятости.","Соцподдержка"
"Ввести электронную очередь в поликлиниках с понятным приложением и уведомлениями о времени приёма.","Здравоохранение"
"Оборудовать все палаты в больницах кнопками вызова медперсонала и современными кроватями.","Здравоохранение"
"Создать систему общественного контроля за качеством ремонта дорог с возможностью оставлять отзывы и фото.","Инфраструктура"
"Установить современные светодиодные фонари на плохо освещённых улицах и во дворах.","Инфраструктура"
"Организовать регулярное мытьё дорог и тротуаров в тёплое время года, чтобы уменьшить пыль и грязь.","Инфраструктура"
"Создать дополнительные группы продлённого дня в школах для младших классов, чтобы родители могли спокойно работать.","Соцподдержка"
"Ввести скидки на коммунальные услуги для многодетных семей и одиноких пенсионеров.","Соцподдержка"
"Организовать бесплатные спортивные секции для людей старшего возраста: йога, плавание, скандинавская ходьба.","Соцподдержка"
"Построить крытый каток, доступный для массового катания и тренировок детских спортивных школ.","Инфраструктура"
"Развивать сеть велодорожек, соединяющих спальные районы с центром города.","Инфраструктура"
"Установить шумоизоляционные экраны вдоль оживлённых магистралей рядом с жилыми домами.","Городская среда"
"Создать программу по сохранению исторических зданий и реставрации архитектурных памятников.","Городская среда"
"Организовать регулярные ярмарки местных фермеров с доступными ценами на свежие продукты.","Экономика"
"Ввести систему кэшбэка или бонусов для тех, кто пользуется общественным транспортом вместо личного авто.","Экономика"
"Открыть при школах бесплатные кружки по искусству: рисование, музыка, театр.","Образование"
"Создать программу наставничества старших школьников для помощи младшим в учёбе и адаптации.","Образование"
"Организовать горячую линию и онлайн‑чат для приёма жалоб на бытовое насилие и оперативной помощи пострадавшим.","Безопасность"
"Усилить контроль за продажей алкоголя несовершеннолетним и ужесточить наказание для нарушителей.","Безопасность"
"Установить дополнительные урны для выгула собак с пакетами и контейнерами для отходов.","Экология"
"Организовать городские субботники с предоставлением инвентаря и вывозом собранного мусора.","Экология"
"Создать в городе приют для бездомных животных с программой стерилизации и пристройства.","Городская среда"
"Поддерживать работу культурных центров в отдалённых районах: финансирование кружков, театральных студий и концертов.","Городская среда"
"Ввести компенсации части стоимости билетов на поезда и автобусы для многодетных семей.","Соцподдержка"
"Открыть больше точек бесплатной раздачи горячего питания для бездомных и малоимущих граждан.","Соцподдержка"
"Создать единый городской портал, где жители могут предлагать инициативы, голосовать за проекты и отслеживать их реализацию.","Городская среда"
"Организовать обучение сотрудников полиции и социальных служб работе с людьми с ментальными особенностями и инвалидностью.","Безопасность"
"Развивать сеть пунктов приёма использованных батареек, ламп и электроники для безопасной утилизации.","Экология"
"Ввести грантовую поддержку для молодых художников, музыкантов и других деятелей культуры.","Экономика"
"Создать прозрачную систему отбора проектов по благоустройству с участием местных жителей в общественных обсуждениях.","Городская среда"
